2021/01/18 13:05:11 : ---------- Starting Demo Migration ID: 62 ----------
2021/01/18 13:05:24 : Current categories, products, orders cleared
2021/01/18 13:06:08 : Migration of Categories is completed
2021/01/18 13:08:33 : Migration of Products is completed
2021/01/18 13:10:33 : Migration of Orders is completed
2021/01/18 13:10:49 : Demo Migration ID: 62 completed
2021/01/18 13:12:54 : Migration of Categories is completed
2021/01/18 13:12:54 : Migration of Products is completed
2021/01/18 13:12:55 : Migration of Orders is completed
2021/01/18 13:12:57 : Demo Migration ID: 62 completed
2021/01/18 13:52:21 : Migration of Categories is completed
2021/01/18 13:52:21 : Migration of Products is completed
2021/01/18 13:52:23 : Migration of Orders is completed
2021/01/18 13:52:26 : Demo Migration ID: 62 completed
2021/01/18 13:57:43 : Migration of Categories is completed
2021/01/18 13:57:44 : Migration of Products is completed
2021/01/18 13:57:46 : Migration of Orders is completed
2021/01/18 13:57:50 : Demo Migration ID: 62 completed
2021/01/18 13:59:18 : Migration of Categories is completed
2021/01/18 13:59:19 : Migration of Products is completed
2021/01/18 13:59:21 : Migration of Orders is completed
2021/01/18 13:59:28 : Demo Migration ID: 62 completed
2021/01/18 15:12:00 : Migration of Categories is completed
2021/01/18 15:12:01 : Migration of Products is completed
2021/01/18 15:12:03 : Migration of Orders is completed
2021/01/18 15:12:21 : Demo Migration ID: 62 completed
